DT,TICKERS,WGT,PX,DIVIDEND,LEVERAGE,PRICEMO,RETURNVOL,MCAP,EY,RtnM,GICS
01/30/2015,12 HK,0.713761,37.839,1.828,0.2096,14,23.19,166218.7868,10.15,0.020249137,60102010
01/30/2015,1249772D HK,2.53193,148.5,2.3825,NA,-3.62,25.591,343950.3995,NA,0.139677667,60102030
01/30/2015,1299 HK,6.687048,45.25,0.9861,0.0888,NA,21.312,545041.5527,4.9522,0.048667439,40301020
01/30/2015,13 HK,2.691183,102.9,2.2935,0.3857,-9.81,24.177,438700.8353,15.3065,0.152941176,20105010
01/30/2015,135 HK,0.319698,8.07,2.8501,0.25,-39.55,25.483,65144.1884,8.4864,0.10095498,10102040
01/30/2015,1398 HK,5.050655,5.58,5.8466,NA,10.25,22.14,1985595.852,17.6674,-0.014134276,40101010
01/30/2015,144 HK,0.448818,28.55,2.697,0.22,3.65,25.64,73169.3076,6.1722,0.093869732,20305030
01/30/2015,151 HK,0.829902,9.32,2.8944,0.0899,-10.84,27.045,122986.9657,3.8519,-0.088062622,30202030
01/30/2015,16 HK,2.192546,126.6,2.6461,0.1962,10.57,16.988,357415.9806,8.7304,0.070160609,60102010
01/30/2015,17 HK,0.606227,9.26,4.4596,0.6643,-3.3,26.465,82353.0413,14.4526,0.038116592,60102010
01/30/2015,1880 HK,0.500267,8.79,3.8737,0.0405,-2.62,29.788,74136.9116,7.6447,0.008027523,25203020
01/30/2015,19 HK,0.751787,104.1,3.4582,0.2733,2.84,15.799,151060.0916,7.0675,0.030693069,60102010
01/30/2015,1928 HK,1.129875,38.05,4.862,0.0795,-35.14,38.197,306976.0482,6.4355,-0.002621232,25301010
01/30/2015,2 HK,1.608729,69.2,3.7572,0.2744,4.8,12.845,174830.3873,6.4179,0.028996283,55101010
01/30/2015,23 HK,0.556285,32.2,3.4472,NA,-5.14,16.892,75568.6675,8.9059,0.0304,40101010
01/30/2015,2318 HK,2.641604,41.3,1.0601,0.5748,33.72,28.736,772913.7191,7.4159,0.044247788,40301020
01/30/2015,2319 HK,0.594615,17.675,0.7046,0.1788,-10.26,29.311,69236.1941,4.2448,0.1046875,30202030
01/30/2015,2388 HK,1.237167,27.25,3.7064,NA,9.02,17.966,288108.2625,7.6105,0.050096339,40101010
01/30/2015,2628 HK,2.793622,30.6,1.2155,0.1252,41.95,29.714,1159247.246,4.6127,0.004926108,40301020
01/30/2015,267 HK,0.813947,13.32,1.9895,NA,-8.34,26.847,331712.2786,NA,0.007564297,20105010
01/30/2015,27 HK,1.17154,40.9,NA,0.006,-37.66,42.229,173615.9866,5.9648,-0.063001145,25301010
01/30/2015,291 HK,0.252513,15.583,1.4706,0.4081,-27.45,28.533,41163.2131,1.7386,0.046822518,30201010
